province,month,cpi_inflation_yoy,core_inflation_yoy,food_price_index,exchange_rate_change_pct,qris_transactions_growth_pct,online_sentiment_score,unemployment_rate,hotel_occupancy_rate,rainfall_index,commodity_price_index,high_inflation_pressure,month_num,quarter
Jawa Barat,2024-11-01,2.39,3.14,102.21,-0.33,14.49,0.141,3.68,42.58,96.14,101.85,0,11,4
Jawa Barat,2024-12-01,2.67,3.28,105.06,0.05,16.84,-0.131,5.11,54.26,120.1,99.39,1,12,4
Jawa Barat,2025-01-01,2.03,2.83,100.27,0.59,20.53,0.032,5.35,58.17,116.2,98.41,0,1,1
Jawa Barat,2025-02-01,2.25,2.79,106.25,1.21,28.13,-0.049,6.0,60.56,162.99,98.27,0,2,1
Jawa Barat,2025-03-01,1.62,2.59,96.02,-0.35,12.99,0.123,5.47,76.92,118.01,100.39,0,3,1
Jawa Barat,2025-04-01,1.9,2.8,98.65,2.24,23.07,-0.013,3.41,71.68,94.3,107.65,0,4,2
Jawa Barat,2025-05-01,2.16,2.62,100.67,0.2,14.6,0.257,4.06,56.7,98.7,103.56,0,5,2
Jawa Barat,2025-06-01,2.7,3.47,94.59,1.56,18.66,-0.045,6.68,58.1,120.94,101.77,1,6,2
Jawa Barat,2025-07-01,1.47,2.14,98.38,1.22,20.29,0.421,4.16,62.47,117.24,94.47,0,7,3
Jawa Barat,2025-08-01,1.98,2.77,97.8,0.94,24.75,0.136,6.75,42.07,55.71,101.28,0,8,3
Jawa Barat,2025-09-01,1.57,2.66,91.32,0.05,10.15,0.267,5.49,45.97,81.59,97.26,0,9,3
Jawa Barat,2025-10-01,2.44,2.93,95.29,0.7,14.18,-0.054,5.02,45.35,81.0,96.71,0,10,4
Jawa Barat,2025-11-01,2.09,2.37,98.91,0.47,16.35,0.041,5.74,63.15,100.28,100.4,0,11,4
Jawa Barat,2025-12-01,2.66,3.03,96.75,1.73,25.49,0.035,5.7,59.96,180.74,107.18,1,12,4
Jawa Tengah,2024-01-01,2.0,2.66,100.78,-0.68,8.72,-0.022,4.57,74.08,133.45,99.97,0,1,1
Jawa Tengah,2024-02-01,2.42,2.82,97.56,1.83,18.92,-0.108,5.46,50.5,84.4,103.7,0,2,1
Jawa Tengah,2024-03-01,1.89,2.59,104.83,-0.49,13.58,-0.04,4.79,59.56,78.82,102.28,0,3,1
Jawa Tengah,2024-04-01,1.74,2.38,99.5,-0.4,20.04,0.2,4.68,59.76,113.35,94.52,0,4,2
Jawa Tengah,2024-05-01,1.21,2.3,102.06,-0.69,6.73,-0.238,5.7,60.52,76.16,102.55,0,5,2
Jawa Tengah,2024-06-01,0.91,2.29,95.13,-0.57,16.36,-0.069,5.27,66.56,82.31,103.34,0,6,2
Jawa Tengah,2024-07-01,1.14,2.32,103.71,-2.57,11.97,0.247,5.45,59.48,80.66,100.35,0,7,3
Jawa Tengah,2024-08-01,2.19,3.0,99.04,0.52,13.97,0.013,5.22,58.93,83.92,101.16,0,8,3
Jawa Tengah,2024-09-01,2.46,3.08,96.82,1.47,13.99,-0.328,4.65,37.13,85.17,100.07,0,9,3
Jawa Tengah,2024-10-01,1.95,2.89,97.38,1.06,4.62,0.172,6.42,41.13,118.34,101.35,0,10,4
Jawa Tengah,2024-11-01,2.03,2.85,108.71,0.43,17.41,-0.011,4.8,63.84,93.12,101.49,0,11,4
Jawa Tengah,2024-12-01,2.15,3.07,102.63,1.37,13.46,0.031,4.67,52.78,121.3,104.23,0,12,4
Jawa Tengah,2025-01-01,2.17,2.9,104.81,0.6,25.88,-0.05,4.41,41.15,146.96,102.62,0,1,1
Jawa Tengah,2025-02-01,2.04,3.25,96.64,2.84,16.79,0.144,6.38,63.39,119.74,96.84,0,2,1
Jawa Tengah,2025-03-01,2.97,3.21,107.57,1.98,13.46,-0.128,5.53,59.63,121.17,94.43,1,3,1
Jawa Tengah,2025-04-01,2.21,2.67,101.18,-0.88,7.51,0.271,5.73,46.56,68.33,99.86,0,4,2
Jawa Tengah,2025-05-01,2.07,2.75,94.8,-0.12,14.7,-0.473,5.6,55.86,111.37,107.4,0,5,2
Jawa Tengah,2025-06-01,1.66,2.76,95.49,2.98,16.42,0.123,5.63,58.88,91.82,97.71,0,6,2
Jawa Tengah,2025-07-01,1.24,2.29,96.76,-0.63,16.67,0.064,7.16,30.77,117.96,104.98,0,7,3
Jawa Tengah,2025-08-01,1.15,2.14,96.85,-1.4,12.07,-0.124,7.41,64.07,121.16,102.89,0,8,3
Jawa Tengah,2025-09-01,1.59,2.21,99.68,-1.19,19.82,0.067,5.28,61.65,102.67,98.56,0,9,3
Jawa Tengah,2025-10-01,1.83,2.54,100.31,0.8,14.51,0.192,4.4,63.96,89.11,97.91,0,10,4
Jawa Tengah,2025-11-01,1.96,2.49,95.83,-1.48,19.27,-0.192,7.41,36.17,149.27,102.04,0,11,4
Jawa Tengah,2025-12-01,1.55,2.3,102.86,0.19,21.85,0.115,5.8,53.55,111.75,102.43,0,12,4
Jawa Timur,2024-01-01,2.3,2.5,101.59,-0.05,17.5,0.196,4.4,50.66,118.36,97.59,0,1,1
Jawa Timur,2024-02-01,1.86,2.66,105.11,0.67,18.74,0.336,6.6,68.46,74.32,96.38,0,2,1
Jawa Timur,2024-03-01,2.16,2.89,105.61,-0.57,18.38,-0.076,4.32,45.74,76.79,97.29,0,3,1
Jawa Timur,2024-04-01,3.41,3.6,100.28,3.13,19.97,0.131,4.08,65.47,84.15,103.19,1,4,2
Jawa Timur,2024-05-01,2.04,2.84,105.02,-0.62,17.23,0.51,4.31,75.27,111.62,99.25,0,5,2
Jawa Timur,2024-06-01,1.93,2.61,102.47,-1.58,13.63,0.066,4.86,62.9,98.91,96.16,0,6,2
Jawa Timur,2024-07-01,2.56,2.85,101.55,1.34,21.75,0.221,4.87,40.17,103.4,102.33,1,7,3
Jawa Timur,2024-08-01,2.16,2.79,95.3,1.31,17.2,0.27,4.96,55.46,113.82,99.44,0,8,3
Jawa Timur,2024-09-01,2.44,2.92,97.37,-0.19,18.56,0.015,6.19,46.4,88.79,99.74,0,9,3
Jawa Timur,2024-10-01,2.43,2.78,102.69,-1.48,18.8,0.316,5.02,65.3,81.8,107.14,0,10,4
Jawa Timur,2024-11-01,2.23,2.8,100.14,1.83,25.62,-0.025,4.52,53.27,82.37,99.03,0,11,4
Jawa Timur,2024-12-01,2.34,3.01,102.27,0.49,25.47,-0.13,5.92,54.97,111.91,105.4,0,12,4
Jawa Timur,2025-01-01,1.88,2.91,101.58,0.69,18.91,0.66,4.3,53.01,100.34,99.28,0,1,1
Jawa Timur,2025-02-01,2.6,3.21,106.48,-0.48,13.08,0.224,4.38,64.83,119.28,95.44,1,2,1
Jawa Timur,2025-03-01,1.69,2.41,101.65,-0.2,18.9,0.164,5.6,78.2,93.21,99.51,0,3,1
Jawa Timur,2025-04-01,2.82,3.44,103.49,2.2,14.72,0.139,4.92,70.11,152.41,100.58,1,4,2
Jawa Timur,2025-05-01,2.87,3.51,103.38,2.18,20.45,0.041,5.53,68.58,114.1,103.53,1,5,2
Jawa Timur,2025-06-01,2.53,3.24,105.13,0.86,16.54,0.152,6.14,49.24,103.11,99.93,1,6,2
Jawa Timur,2025-07-01,2.01,3.03,100.26,0.2,10.34,0.284,5.58,76.5,87.18,102.38,0,7,3
Jawa Timur,2025-08-01,2.1,2.63,98.75,0.46,20.57,0.161,4.49,57.03,116.8,97.39,0,8,3
Jawa Timur,2025-09-01,1.65,2.11,103.08,-1.53,14.5,0.203,6.5,54.28,80.69,109.02,0,9,3
Jawa Timur,2025-10-01,2.21,2.8,100.62,-0.4,12.1,0.276,5.18,49.82,65.01,104.99,0,10,4
Jawa Timur,2025-11-01,2.35,3.08,108.16,-0.95,9.48,-0.062,4.89,58.26,106.64,104.11,0,11,4
Jawa Timur,2025-12-01,2.87,3.42,102.11,1.46,19.19,0.19,5.51,61.25,127.14,108.02,1,12,4
Bali,2024-01-01,1.59,2.42,105.7,-0.59,29.12,0.111,3.89,68.27,99.07,103.36,0,1,1
Bali,2024-02-01,1.73,2.51,94.56,-0.35,7.15,-0.228,6.08,75.28,124.18,96.13,0,2,1
Bali,2024-03-01,1.85,2.6,99.41,1.88,24.31,0.041,5.35,70.08,52.18,100.21,0,3,1
Bali,2024-04-01,2.28,3.14,102.29,2.21,23.08,-0.036,5.89,81.11,117.16,101.44,0,4,2
Bali,2024-05-01,1.72,3.06,102.04,1.13,23.05,0.351,4.78,79.57,100.4,108.3,0,5,2
Bali,2024-06-01,2.23,3.07,100.66,-0.57,17.23,0.05,5.74,70.97,82.38,99.9,0,6,2
Bali,2024-07-01,1.81,2.56,100.79,0.19,20.37,0.255,4.3,62.5,57.24,101.6,0,7,3
Bali,2024-08-01,1.67,2.47,104.26,-1.2,12.14,0.169,6.37,80.18,83.09,104.31,0,8,3
Bali,2024-09-01,2.2,2.78,101.66,0.87,11.55,0.445,6.7,57.96,101.61,101.98,0,9,3
Bali,2024-10-01,0.75,2.13,96.4,0.12,25.85,0.24,4.95,71.51,30.51,104.6,0,10,4
Bali,2024-11-01,1.48,2.57,97.45,-1.19,25.79,-0.013,5.67,64.5,122.44,101.51,0,11,4
Bali,2024-12-01,2.37,2.81,100.34,-1.48,17.52,0.42,6.17,62.69,105.32,99.91,0,12,4
Bali,2025-01-01,2.19,3.05,102.17,1.28,20.99,0.063,5.12,66.37,113.23,102.91,0,1,1
Bali,2025-02-01,1.67,2.86,100.89,0.24,9.36,0.322,5.67,77.3,51.1,108.35,0,2,1
Bali,2025-03-01,2.55,3.1,99.82,0.9,14.27,-0.047,7.23,66.29,101.88,104.68,1,3,1
Bali,2025-04-01,2.43,3.45,104.55,2.87,19.45,0.134,6.37,78.32,122.93,103.75,0,4,2
Bali,2025-05-01,2.0,2.76,96.65,0.48,15.83,0.106,5.65,70.1,105.33,106.45,0,5,2
Bali,2025-06-01,2.36,2.94,103.34,1.46,13.37,0.251,6.02,63.17,125.27,99.4,0,6,2
Bali,2025-07-01,0.97,2.42,99.32,-1.06,12.26,0.471,4.47,55.53,46.58,97.44,0,7,3
Bali,2025-08-01,1.44,2.53,102.29,-0.61,31.46,0.336,4.99,40.44,143.58,94.44,0,8,3
Bali,2025-09-01,2.2,2.79,107.1,1.67,22.68,0.251,6.17,71.11,99.09,100.42,0,9,3
Bali,2025-10-01,1.17,2.05,97.77,-1.71,19.24,-0.097,4.22,65.89,123.81,103.67,0,10,4
Bali,2025-11-01,2.01,2.34,104.66,-0.85,18.58,0.211,4.35,65.95,82.6,98.79,0,11,4
Bali,2025-12-01,2.37,2.91,103.61,0.21,22.62,0.139,6.68,67.19,103.55,101.69,0,12,4
Sumatera Utara,2024-01-01,1.71,2.78,98.26,-0.58,9.73,0.505,4.05,51.47,98.25,103.58,0,1,1
Sumatera Utara,2024-02-01,1.88,2.68,98.87,0.46,12.68,0.592,4.1,61.76,128.76,101.66,0,2,1
Sumatera Utara,2024-03-01,2.15,3.18,103.67,0.07,22.03,0.576,4.73,46.09,95.16,111.52,0,3,1
Sumatera Utara,2024-04-01,2.01,2.42,109.2,-0.38,19.98,0.448,4.91,56.88,84.02,97.14,0,4,2
Sumatera Utara,2024-05-01,2.0,2.44,100.84,-0.7,18.24,-0.222,5.62,65.97,52.19,101.5,0,5,2
Sumatera Utara,2024-06-01,2.32,2.6,105.87,0.61,13.36,0.108,5.85,57.72,106.85,96.32,0,6,2
Sumatera Utara,2024-07-01,1.86,2.58,98.93,-0.84,13.2,0.392,6.38,61.74,69.92,98.73,0,7,3
Sumatera Utara,2024-08-01,2.21,2.64,106.92,0.58,18.02,0.052,5.42,53.73,108.76,103.83,0,8,3
Sumatera Utara,2024-09-01,1.81,2.69,92.19,0.71,11.28,-0.354,5.68,78.58,92.77,103.35,0,9,3
Sumatera Utara,2024-10-01,1.89,2.45,102.02,-0.17,18.41,0.191,4.62,64.61,89.33,96.98,0,10,4
Sumatera Utara,2024-11-01,2.36,2.68,101.51,0.22,22.67,0.194,5.27,63.72,142.53,103.43,0,11,4
Sumatera Utara,2024-12-01,2.23,2.47,98.39,-0.11,13.85,0.049,5.35,62.03,111.45,103.15,0,12,4
Sumatera Utara,2025-01-01,1.94,2.67,97.43,-0.01,10.73,0.252,6.82,69.63,109.35,105.96,0,1,1
Sumatera Utara,2025-02-01,2.31,2.6,99.08,-0.18,15.0,0.157,5.45,58.85,124.43,104.76,0,2,1
Sumatera Utara,2025-03-01,2.36,2.54,94.58,1.26,9.91,0.041,4.12,41.98,109.01,104.24,0,3,1
Sumatera Utara,2025-04-01,2.64,2.99,101.42,0.66,9.33,0.13,5.28,64.32,99.45,97.31,1,4,2
Sumatera Utara,2025-05-01,1.87,2.47,100.62,-0.88,14.72,-0.075,5.12,74.31,65.87,93.55,0,5,2
Sumatera Utara,2025-06-01,2.38,3.0,97.67,1.29,13.87,0.522,5.97,52.36,142.46,97.58,0,6,2
Sumatera Utara,2025-07-01,2.6,3.16,103.87,1.87,17.19,-0.046,5.75,49.51,138.24,100.55,1,7,3
Sumatera Utara,2025-08-01,1.87,2.46,94.09,-0.92,23.26,-0.025,4.24,60.28,119.27,102.88,0,8,3
Sumatera Utara,2025-09-01,2.0,3.1,93.64,1.8,15.34,0.065,6.62,60.18,102.93,108.66,0,9,3
Sumatera Utara,2025-10-01,1.34,2.05,99.0,0.45,24.97,0.232,5.83,65.37,85.15,96.64,0,10,4
Sumatera Utara,2025-11-01,2.39,2.84,108.61,-0.98,15.87,0.029,5.6,63.7,130.88,98.87,0,11,4
Sumatera Utara,2025-12-01,2.51,2.93,101.25,2.0,19.58,0.252,5.95,68.15,116.98,96.01,1,12,4
Sumatera Selatan,2024-01-01,2.0,2.98,102.54,1.51,16.82,0.188,7.12,60.34,171.29,102.26,0,1,1
Sumatera Selatan,2024-02-01,2.21,3.2,102.34,1.57,20.21,0.09,4.19,56.83,96.11,97.68,0,2,1
Sumatera Selatan,2024-03-01,2.06,2.6,104.67,-1.09,19.02,0.353,4.81,57.83,97.42,98.06,0,3,1
Sumatera Selatan,2024-04-01,2.13,2.47,104.57,-0.75,14.43,0.249,5.04,75.22,88.03,102.1,0,4,2
Sumatera Selatan,2024-05-01,2.05,3.04,94.33,-1.53,23.27,-0.001,7.97,52.69,100.11,106.17,0,5,2
Sumatera Selatan,2024-06-01,1.98,2.91,104.02,1.28,19.79,0.291,4.87,49.23,94.93,99.32,0,6,2
Sumatera Selatan,2024-07-01,1.75,2.88,102.43,0.25,24.39,-0.131,5.22,49.14,52.89,99.67,0,7,3
Sumatera Selatan,2024-08-01,1.67,2.8,100.79,-0.98,26.35,0.389,6.0,53.03,72.07,98.51,0,8,3
Sumatera Selatan,2024-09-01,1.37,2.46,103.79,-0.39,10.89,0.151,3.65,57.97,89.65,98.14,0,9,3
Sumatera Selatan,2024-10-01,1.59,2.22,96.71,-1.14,1.77,0.114,7.19,70.96,83.13,97.59,0,10,4
Sumatera Selatan,2024-11-01,2.43,3.15,102.25,1.07,23.09,0.068,5.21,47.61,93.76,100.29,0,11,4
Sumatera Selatan,2024-12-01,2.71,3.22,99.08,1.87,15.3,0.085,4.67,33.97,132.45,104.15,1,12,4
Sumatera Selatan,2025-01-01,1.48,2.07,102.3,-1.57,13.96,0.295,4.16,60.84,84.21,101.87,0,1,1
Sumatera Selatan,2025-02-01,2.32,2.84,105.08,-0.66,12.5,0.164,6.56,49.17,116.18,101.72,0,2,1
Sumatera Selatan,2025-03-01,1.63,2.51,102.01,-0.68,17.16,-0.146,2.5,63.25,116.99,91.75,0,3,1
Sumatera Selatan,2025-04-01,2.26,2.85,110.3,0.25,12.92,0.05,6.79,52.68,79.24,99.27,0,4,2
Sumatera Selatan,2025-05-01,2.89,3.19,106.18,0.51,15.4,0.056,3.85,66.44,94.34,99.28,1,5,2
Sumatera Selatan,2025-06-01,1.77,2.57,97.16,-0.32,22.68,0.145,3.98,65.73,80.3,107.49,0,6,2
Sumatera Selatan,2025-07-01,1.88,2.48,103.57,0.22,21.14,0.227,4.57,49.84,116.61,98.66,0,7,3
Sumatera Selatan,2025-08-01,2.41,3.0,100.06,2.42,11.16,0.125,6.83,54.42,103.13,95.75,0,8,3
Sumatera Selatan,2025-09-01,1.8,2.77,101.84,1.46,30.17,0.248,5.74,56.75,85.13,101.35,0,9,3
Sumatera Selatan,2025-10-01,1.8,2.4,103.19,-0.96,22.64,0.41,5.3,35.02,79.81,105.19,0,10,4
Sumatera Selatan,2025-11-01,2.25,3.2,99.42,1.15,19.55,0.037,5.05,52.23,91.66,107.66,0,11,4
Sumatera Selatan,2025-12-01,3.01,3.14,107.22,1.33,14.46,0.179,5.39,48.41,120.14,96.48,1,12,4
Kalimantan Timur,2024-01-01,2.06,2.67,101.77,-0.13,20.16,0.016,6.13,45.26,116.83,107.76,0,1,1
Kalimantan Timur,2024-02-01,2.25,3.17,103.09,0.35,18.93,0.228,5.89,69.36,123.83,99.03,0,2,1
Kalimantan Timur,2024-03-01,2.02,2.68,103.12,-0.84,22.87,0.064,3.08,67.15,85.32,100.84,0,3,1
Kalimantan Timur,2024-04-01,2.16,2.95,105.88,-0.25,19.78,0.033,5.99,64.66,76.24,105.54,0,4,2
Kalimantan Timur,2024-05-01,2.12,2.67,102.07,2.17,15.95,0.043,5.24,55.17,113.65,93.53,0,5,2
Kalimantan Timur,2024-06-01,2.51,3.19,103.41,2.03,16.57,0.083,5.33,68.04,74.6,100.95,1,6,2
Kalimantan Timur,2024-07-01,2.53,3.27,100.04,1.25,3.05,0.269,4.6,38.56,105.2,105.49,1,7,3
Kalimantan Timur,2024-08-01,2.91,3.17,104.51,1.6,25.64,0.283,5.33,39.96,87.77,96.63,1,8,3
Kalimantan Timur,2024-09-01,1.55,2.5,99.11,0.76,17.34,0.493,4.63,56.75,76.57,94.72,0,9,3
Kalimantan Timur,2024-10-01,1.55,2.26,97.36,-0.61,9.8,0.102,3.75,62.4,95.0,94.17,0,10,4
Kalimantan Timur,2024-11-01,2.61,2.95,102.6,1.7,7.36,0.115,5.1,62.33,116.64,98.19,1,11,4
Kalimantan Timur,2024-12-01,2.37,2.93,105.95,0.25,27.0,0.077,4.55,42.62,73.33,94.86,0,12,4
Kalimantan Timur,2025-01-01,1.31,2.31,95.25,1.13,14.6,0.152,6.87,66.57,108.14,96.44,0,1,1
Kalimantan Timur,2025-02-01,1.66,2.75,100.55,-0.94,16.43,0.137,5.03,52.64,118.53,101.77,0,2,1
Kalimantan Timur,2025-03-01,1.94,2.74,103.23,0.25,20.79,0.141,6.21,61.83,83.63,102.65,0,3,1
Kalimantan Timur,2025-04-01,2.75,2.85,103.28,0.0,16.44,-0.324,4.71,59.7,100.34,97.09,1,4,2
Kalimantan Timur,2025-05-01,2.43,2.87,104.17,0.62,13.75,0.511,4.06,66.78,118.06,97.32,0,5,2
Kalimantan Timur,2025-06-01,2.5,3.09,101.09,0.44,16.41,0.298,6.05,40.39,123.7,93.35,1,6,2
Kalimantan Timur,2025-07-01,1.78,2.6,95.56,-0.3,11.36,0.073,4.95,63.36,122.78,105.58,0,7,3
Kalimantan Timur,2025-08-01,1.19,2.36,92.98,-0.74,22.13,0.475,4.02,49.55,92.6,101.12,0,8,3
Kalimantan Timur,2025-09-01,1.71,2.86,97.02,0.13,19.95,0.121,4.82,53.86,90.96,98.52,0,9,3
Kalimantan Timur,2025-10-01,1.5,2.27,100.83,-0.18,20.73,0.047,6.43,58.69,90.82,101.79,0,10,4
Kalimantan Timur,2025-11-01,1.53,2.4,97.3,0.39,26.12,0.581,5.89,60.71,72.33,99.03,0,11,4
Kalimantan Timur,2025-12-01,1.76,2.49,101.59,-0.29,6.82,0.255,4.18,59.27,158.63,97.52,0,12,4
Sulawesi Selatan,2024-01-01,2.04,2.83,107.99,-1.2,20.19,0.018,4.95,83.17,80.98,101.01,0,1,1
Sulawesi Selatan,2024-02-01,2.27,3.08,101.99,0.49,15.57,0.179,4.71,64.72,106.69,101.51,0,2,1
Sulawesi Selatan,2024-03-01,3.14,3.19,103.76,-1.72,24.17,-0.109,4.4,53.44,127.34,92.66,1,3,1
Sulawesi Selatan,2024-04-01,2.45,2.89,104.53,0.17,19.09,0.205,5.7,64.1,98.79,100.41,0,4,2
Sulawesi Selatan,2024-05-01,2.89,3.07,105.1,0.8,2.32,0.264,5.25,57.87,87.5,104.5,1,5,2
Sulawesi Selatan,2024-06-01,2.34,2.69,101.86,-0.92,10.43,-0.018,5.92,66.05,106.29,102.9,0,6,2
Sulawesi Selatan,2024-07-01,2.06,2.78,101.25,1.03,21.53,0.382,5.77,59.29,117.49,99.89,0,7,3
Sulawesi Selatan,2024-08-01,1.93,2.74,96.62,-0.59,16.85,-0.054,4.75,37.19,97.87,100.0,0,8,3
Sulawesi Selatan,2024-09-01,1.35,2.38,102.32,-1.62,13.64,-0.049,4.12,62.78,88.64,98.94,0,9,3
Sulawesi Selatan,2024-10-01,2.58,3.09,94.89,0.22,19.05,0.419,3.75,28.0,97.23,107.2,1,10,4
Sulawesi Selatan,2024-11-01,2.77,3.16,100.12,1.12,12.54,0.195,5.56,66.02,172.66,102.77,1,11,4
Sulawesi Selatan,2024-12-01,2.5,2.84,96.34,-0.53,15.48,-0.025,5.21,49.19,137.66,101.2,1,12,4
Sulawesi Selatan,2025-01-01,2.79,3.17,101.68,1.06,13.1,-0.025,4.75,45.26,96.03,98.1,1,1,1
Sulawesi Selatan,2025-02-01,2.17,3.02,102.33,1.09,16.89,0.206,4.95,61.34,102.0,90.24,0,2,1
Sulawesi Selatan,2025-03-01,3.21,3.36,107.18,1.29,24.03,0.11,5.26,53.23,90.15,103.66,1,3,1
Sulawesi Selatan,2025-04-01,2.38,2.8,102.17,0.23,20.73,-0.228,2.76,53.59,69.96,99.17,0,4,2
Sulawesi Selatan,2025-05-01,1.98,2.48,106.22,0.51,19.17,0.257,3.92,67.92,94.38,102.68,0,5,2
Sulawesi Selatan,2025-06-01,2.88,3.05,103.3,0.56,12.91,-0.071,6.18,45.7,131.14,96.4,1,6,2
Sulawesi Selatan,2025-07-01,1.69,2.05,101.85,-0.45,16.76,0.129,4.06,62.99,82.66,99.09,0,7,3
Sulawesi Selatan,2025-08-01,2.79,3.36,98.55,2.8,21.69,0.116,4.79,55.39,105.22,95.28,1,8,3
Sulawesi Selatan,2025-09-01,2.68,2.84,101.55,0.63,17.71,0.268,5.65,51.54,80.28,100.41,1,9,3
Sulawesi Selatan,2025-10-01,1.79,2.55,94.09,0.33,17.87,0.158,5.3,53.06,125.96,93.6,0,10,4
Sulawesi Selatan,2025-11-01,2.19,3.02,96.08,0.04,26.25,0.095,5.29,43.98,98.39,99.7,0,11,4
Sulawesi Selatan,2025-12-01,1.8,2.47,104.49,-0.99,18.89,0.2,6.2,72.02,90.67,97.96,0,12,4
NTB,2024-01-01,2.33,2.86,104.34,0.07,18.39,0.153,4.36,86.9,78.68,100.74,0,1,1
NTB,2024-02-01,1.36,2.49,100.73,-0.24,19.12,0.422,2.99,82.39,83.49,98.93,0,2,1
NTB,2024-03-01,2.09,2.9,98.09,0.74,30.58,-0.21,5.39,61.81,106.47,101.28,0,3,1
NTB,2024-04-01,2.57,2.99,109.81,0.02,23.8,-0.195,4.24,72.31,129.47,102.62,1,4,2
NTB,2024-05-01,2.35,2.87,96.51,0.81,24.64,0.021,4.73,69.58,86.44,99.74,0,5,2
